IdInvoice,Id_Transaction,InvoiceDate,TotalWithoutTaxes,TotalTaxes,Subtotal,Total,PaymentDetails.change,Reference.Id_TransactionParent
63907,104-1761576515,2025-10-27 08:48:35,12.93,2.07,15.0,15,0,101-1761574278
63908,104-1761578003,2025-10-27 09:13:23,21.55,3.45,25.0,25,0,101-1761577075
63909,104-1761578189,2025-10-27 09:16:29,43.1,6.9,50.0,50,0,101-1761573961
63910,104-1761578286,2025-10-27 09:18:06,21.55,3.45,25.0,25,0,101-1761577249
63911,104-1761578793,2025-10-27 09:26:33,21.55,3.45,25.0,25,0,101-1761575181
63912,104-1761579335,2025-10-27 09:35:35,21.55,3.45,25.0,25,0,101-1761578046
63913,104-1761579988,2025-10-27 09:46:28,21.55,3.45,25.0,25,0,101-1761579040
63914,104-1761580244,2025-10-27 09:50:44,43.1,6.9,50.0,50,0,101-1761574427
63915,104-1761580321,2025-10-27 09:52:01,21.55,3.45,25.0,25,0,101-1761578639
63916,104-1761580379,2025-10-27 09:52:59,21.55,3.45,25.0,25,0,101-1761578003
63917,104-1761580540,2025-10-27 09:55:40,21.55,3.45,25.0,25,0,101-1761577588
63918,104-1761580698,2025-10-27 09:58:18,21.55,3.45,25.0,25,0,101-1761577508
63919,104-1761580713,2025-10-27 09:58:33,21.55,3.45,25.0,25,0,101-1761578022
63920,104-1761580768,2025-10-27 09:59:28,21.55,3.45,25.0,25,0,101-1761577221
63921,104-1761581200,2025-10-27 10:06:40,21.55,3.45,25.0,25,0,101-1761579240
63922,104-1761581286,2025-10-27 10:08:06,43.1,6.9,50.0,50,0,101-1761576373
63923,104-1761581761,2025-10-27 10:16:01,21.55,3.45,25.0,25,0,101-1761580352
63924,104-1761581942,2025-10-27 10:19:02,25.86,4.14,30.0,30,470,101-1761581511
63925,104-1761582072,2025-10-27 10:21:12,43.1,6.9,50.0,50,0,101-1761576630
63926,104-1761582155,2025-10-27 10:22:35,43.1,6.9,50.0,50,0,101-1761578229
63927,104-1761582306,2025-10-27 10:25:06,21.55,3.45,25.0,25,0,101-1761580413
63928,104-1761582468,2025-10-27 10:27:48,21.55,3.45,25.0,25,0,101-1761580568
63929,104-1761582870,2025-10-27 10:34:30,25.86,4.14,30.0,30,0,101-1761581062
63930,104-1761583171,2025-10-27 10:39:31,43.1,6.9,50.0,50,0,101-1761579133
63931,104-1761583278,2025-10-27 10:41:18,21.55,3.45,25.0,25,75,101-1761581864
63932,104-1761583301,2025-10-27 10:41:41,43.1,6.9,50.0,50,0,101-1761578663
63933,104-1761583680,2025-10-27 10:48:00,25.86,4.14,30.0,30,0,101-1761581205
63934,104-1761583780,2025-10-27 10:49:40,25.86,4.14,30.0,30,70,101-1761581821
63935,104-1761584207,2025-10-27 10:56:47,21.55,3.45,25.0,25,0,101-1761583059
63936,104-1761584270,2025-10-27 10:57:50,43.1,6.9,50.0,50,0,101-1761578792
63937,104-1761584300,2025-10-27 10:58:20,25.86,4.14,30.0,30,0,101-1761582643
63938,104-1761584350,2025-10-27 10:59:10,43.1,6.9,50.0,50,0,101-1761579480
63939,104-1761584622,2025-10-27 11:03:42,51.72,8.28,60.0,60,150,101-1761578718
63940,104-1761584658,2025-10-27 11:04:18,21.55,3.45,25.0,25,0,101-1761583168
63941,104-1761584956,2025-10-27 11:09:16,43.1,6.9,50.0,50,0,101-1761578589
63942,104-1761585066,2025-10-27 11:11:06,21.55,3.45,25.0,25,0,101-1761583512
63943,104-1761585125,2025-10-27 11:12:05,25.86,4.14,30.0,30,0,101-1761582155
63944,104-1761585486,2025-10-27 11:18:06,21.55,3.45,25.0,25,0,101-1761582184
63945,104-1761585540,2025-10-27 11:19:00,43.1,6.9,50.0,50,0,101-1761581097
63946,104-1761585605,2025-10-27 11:20:05,21.55,3.45,25.0,25,0,101-1761584302
63947,104-1761585868,2025-10-27 11:24:28,43.1,6.9,50.0,50,0,101-1761579651
63948,104-1761586251,2025-10-27 11:30:51,43.1,6.9,50.0,50,0,101-1761580300
63949,104-1761586512,2025-10-27 11:35:12,21.55,3.45,25.0,25,0,101-1761585677
63950,104-1761586676,2025-10-27 11:37:56,25.86,4.14,30.0,30,0,101-1761583487
63951,104-1761586918,2025-10-27 11:41:58,43.1,6.9,50.0,50,0,100-1761580854
63952,104-1761587151,2025-10-27 11:45:51,25.86,4.14,30.0,30,0,101-1761584427
63953,104-1761587405,2025-10-27 11:50:05,51.72,8.28,60.0,60,0,101-1761582140
63954,104-1761587433,2025-10-27 11:50:33,21.55,3.45,25.0,25,75,101-1761584553
63955,104-1761587531,2025-10-27 11:52:11,43.1,6.9,50.0,50,0,101-1761582854
63956,104-1761587889,2025-10-27 11:58:09,21.55,3.45,25.0,25,0,101-1761587461
63957,104-1761587959,2025-10-27 11:59:19,21.55,3.45,25.0,25,0,101-1761586747
63958,104-1761588202,2025-10-27 12:03:22,64.66,10.34,75.0,75,0,101-1761580666
63959,104-1761588380,2025-10-27 12:06:20,43.1,6.9,50.0,50,0,101-1761584280
63960,104-1761588549,2025-10-27 12:09:09,21.55,3.45,25.0,25,0,101-1761587793
63961,104-1761588568,2025-10-27 12:09:28,21.55,3.45,25.0,25,0,101-1761585714
63962,104-1761589454,2025-10-27 12:24:14,21.55,3.45,25.0,25,0,101-1761588667
63963,104-1761589894,2025-10-27 12:31:34,21.55,3.45,25.0,25,0,101-1761587118
63964,104-1761589949,2025-10-27 12:32:29,43.1,6.9,50.0,50,0,101-1761584726
63965,104-1761590038,2025-10-27 12:33:58,51.72,8.28,60.0,60,0,101-1761585275
63966,104-1761590100,2025-10-27 12:35:00,21.55,3.45,25.0,25,0,101-1761586800
63967,104-1761590161,2025-10-27 12:36:01,51.72,8.28,60.0,60,0,101-1761582934
63968,104-1761590180,2025-10-27 12:36:20,43.1,6.9,50.0,50,0,101-1761584854
63969,104-1761590209,2025-10-27 12:36:49,51.72,8.28,60.0,60,0,101-1761583673
63970,104-1761590236,2025-10-27 12:37:16,77.59,12.41,90.0,90,0,101-1761579828
63971,104-1761590816,2025-10-27 12:46:56,43.1,6.9,50.0,50,0,101-1761587034
63972,104-1761590907,2025-10-27 12:48:27,21.55,3.45,25.0,25,0,101-1761588911
63973,104-1761591147,2025-10-27 12:52:27,51.72,8.28,60.0,60,0,101-1761587342
63974,104-1761591268,2025-10-27 12:54:28,51.72,8.28,60.0,60,0,101-1761587312
63975,104-1761591284,2025-10-27 12:54:44,21.55,3.45,25.0,25,0,101-1761590327
63976,104-1761591503,2025-10-27 12:58:23,64.66,10.34,75.0,75,0,101-1761581286
63977,104-1761591545,2025-10-27 12:59:05,21.55,3.45,25.0,25,0,101-1761589922
63978,104-1761591588,2025-10-27 12:59:48,64.66,10.34,75.0,75,0,101-1761582694
63979,104-1761591653,2025-10-27 13:00:53,64.66,10.34,75.0,75,0,101-1761582100
63980,104-1761592013,2025-10-27 13:06:53,86.21,13.79,100.0,100,0,101-1761580965
63981,104-1761592112,2025-10-27 13:08:32,25.86,4.14,30.0,30,0,101-1761591303
63982,104-1761592147,2025-10-27 13:09:07,43.1,6.9,50.0,50,0,101-1761587274
63983,104-1761592169,2025-10-27 13:09:29,21.55,3.45,25.0,25,0,101-1761590572
63984,104-1761592201,2025-10-27 13:10:01,43.1,6.9,50.0,50,0,101-1761585358
63985,104-1761592262,2025-10-27 13:11:02,21.55,3.45,25.0,25,0,101-1761591058
63986,104-1761592312,2025-10-27 13:11:52,51.72,8.28,60.0,60,0,101-1761586253
63987,104-1761592389,2025-10-27 13:13:09,51.72,8.28,60.0,60,0,101-1761588540
63988,104-1761592606,2025-10-27 13:16:46,64.66,10.34,75.0,75,0,101-1761584373
63989,104-1761592896,2025-10-27 13:21:36,77.59,12.41,90.0,90,0,101-1761582063
63990,104-1761592920,2025-10-27 13:22:00,43.1,6.9,50.0,50,0,101-1761587607
63991,104-1761593006,2025-10-27 13:23:26,21.55,3.45,25.0,25,0,100-1761591615
63992,104-1761593044,2025-10-27 13:24:04,21.55,3.45,25.0,25,0,100-1761591652
63993,104-1761593152,2025-10-27 13:25:52,21.55,3.45,25.0,25,0,101-1761591536
63994,104-1761593493,2025-10-27 13:31:33,43.1,6.9,50.0,50,0,101-1761587947
63995,104-1761593654,2025-10-27 13:34:14,21.55,3.45,25.0,25,0,101-1761591639
63996,104-1761593697,2025-10-27 13:34:57,64.66,10.34,75.0,75,0,101-1761583848
63997,104-1761593842,2025-10-27 13:37:22,21.55,3.45,25.0,25,0,101-1761590301
63998,104-1761593934,2025-10-27 13:38:54,21.55,3.45,25.0,25,0,101-1761592092
63999,104-1761594138,2025-10-27 13:42:18,21.55,3.45,25.0,25,0,101-1761593115
64000,104-1761594533,2025-10-27 13:48:53,25.86,4.14,30.0,30,0,101-1761587765
64001,104-1761594704,2025-10-27 13:51:44,43.1,6.9,50.0,50,0,101-1761589534
64002,104-1761594870,2025-10-27 13:54:30,21.55,3.45,25.0,25,0,101-1761593341
64003,104-1761594906,2025-10-27 13:55:06,43.1,6.9,50.0,50,0,101-1761589741
64004,104-1761595488,2025-10-27 14:04:48,21.55,3.45,25.0,25,0,101-1761594801
64005,104-1761595830,2025-10-27 14:10:30,21.55,3.45,25.0,25,0,101-1761594632
64006,104-1761595930,2025-10-27 14:12:10,64.66,10.34,75.0,75,0,101-1761587885
64007,104-1761595985,2025-10-27 14:13:05,21.55,3.45,25.0,25,0,101-1761594961
64008,104-1761596050,2025-10-27 14:14:10,21.55,3.45,25.0,25,0,101-1761595546
64009,104-1761596270,2025-10-27 14:17:50,21.55,3.45,25.0,25,0,101-1761592908
64010,104-1761596588,2025-10-27 14:23:08,21.55,3.45,25.0,25,0,101-1761593361
64011,104-1761596887,2025-10-27 14:28:07,21.55,3.45,25.0,25,0,101-1761596004
64012,104-1761597412,2025-10-27 14:36:52,21.55,3.45,25.0,25,0,101-1761593769
64013,104-1761597697,2025-10-27 14:41:37,43.1,6.9,50.0,50,0,101-1761592938
64014,104-1761597888,2025-10-27 14:44:48,21.55,3.45,25.0,25,0,101-1761594838
