JsonType,DateNow,IdInvoice,IdDevice,IdShift,Id_Transaction,InvoiceDate,numResolution,Prefix,TotalWithoutTaxes,TotalTaxes,Subtotal,TotalAdjustments,Total,isVoided,IsElectronic,Tax,items,PaymentMethod,Receipt,Note,PaymentDetails.valuePaid,PaymentDetails.change,Reference.Id_TransactionParent
2,1761576515,63907,104,920,104-1761576515,2025-10-27 08:48:35,123456789,Ferchaz,12.93,2.07,15.0,0,15,False,False,"[{'Id_Tax': 1, 'TaxValue': 16, 'TaxName': 'IVA'}]","[{'Id_Product': 9, 'description': 'Estacionamiento', 'TotalWithoutTaxes': 12.93, 'tax': 2.07, 'Subtotal': 15.0, 'TotalAdjustment': 0, 'Total': 15, 'AgreementsApplied': [], 'NoteItems': {'Detail_liquidation': {'total': 15, 'mins': 37, 'liquidacion': 15, 'zona': 1, 'tv': 2, 'calculo_dias': {'2025-10-27': {'formula': 'Motos', 'mins': 37, 'valor': 15}}, 'convenios': []}}}]",0,"Estacionamiento Ocampo
Melchor Ocampo #175
4441631191

Transaccion: 104-1761576515

--------------------------------------------
Sistema POS No:      Ferchaz-63907
Fecha de expedicion: 2025-10-27 08:48:35
--------------------------------------------
Placa:             
Id Device:         104
Ingreso:           2025-10-27 08:11:18
Salida:            2025-10-27 08:48:29
Minutos:           37.18
--------------------------------------------
Detalle          Subtotal   Impuesto   Total
--------------------------------------------
Estacionamiento   12.93   2.07   15.00   

        TOTAL A PAGAR:   $ 15.00
--------------------------------------------
Pago Efectivo
Efectivo:          $ 15.00
Cambio:            $  0.00
--------------------------------------------

GRACIAS POR VISITARNOS

--------------------------------------------
Elaborado por:CONTROLES INTELIGENTES S.A.S
WWW.CI24.COM
Nit:900.249.884-9
--------------------------------------------",,15,0,101-1761574278
2,1761578003,63908,104,920,104-1761578003,2025-10-27 09:13:23,123456789,Ferchaz,21.55,3.45,25.0,0,25,False,False,"[{'Id_Tax': 1, 'TaxValue': 16, 'TaxName': 'IVA'}]","[{'Id_Product': 8, 'description': 'Estacionamiento', 'TotalWithoutTaxes': 21.55, 'tax': 3.45, 'Subtotal': 25.0, 'TotalAdjustment': 0, 'Total': 25, 'AgreementsApplied': [], 'NoteItems': {'Detail_liquidation': {'total': 25, 'mins': 15, 'liquidacion': 25, 'zona': 1, 'tv': 1, 'calculo_dias': {'2025-10-27': {'formula': 'Carros', 'mins': 15, 'valor': 25}}, 'convenios': []}}}]",0,"Estacionamiento Ocampo
Melchor Ocampo #175
4441631191

Transaccion: 104-1761578003

--------------------------------------------
Sistema POS No:      Ferchaz-63908
Fecha de expedicion: 2025-10-27 09:13:23
--------------------------------------------
Placa:             
Id Device:         104
Ingreso:           2025-10-27 08:57:55
Salida:            2025-10-27 09:12:57
Minutos:           15.03
--------------------------------------------
Detalle          Subtotal   Impuesto   Total
--------------------------------------------
Estacionamiento   21.55   3.45   25.00   

        TOTAL A PAGAR:   $ 25.00
--------------------------------------------
Pago Efectivo
Efectivo:          $ 25.00
Cambio:            $  0.00
--------------------------------------------

GRACIAS POR VISITARNOS

--------------------------------------------
Elaborado por:CONTROLES INTELIGENTES S.A.S
WWW.CI24.COM
Nit:900.249.884-9
--------------------------------------------",,25,0,101-1761577075
2,1761578189,63909,104,920,104-1761578189,2025-10-27 09:16:29,123456789,Ferchaz,43.1,6.9,50.0,0,50,False,False,"[{'Id_Tax': 1, 'TaxValue': 16, 'TaxName': 'IVA'}]","[{'Id_Product': 8, 'description': 'Estacionamiento', 'TotalWithoutTaxes': 43.1, 'tax': 6.9, 'Subtotal': 50.0, 'TotalAdjustment': 0, 'Total': 50, 'AgreementsApplied': [], 'NoteItems': {'Detail_liquidation': {'total': 50, 'mins': 70, 'liquidacion': 50, 'zona': 1, 'tv': 1, 'calculo_dias': {'2025-10-27': {'formula': 'Carros', 'mins': 70, 'valor': 50}}, 'convenios': []}}}]",0,"Estacionamiento Ocampo
Melchor Ocampo #175
4441631191

Transaccion: 104-1761578189

--------------------------------------------
Sistema POS No:      Ferchaz-63909
Fecha de expedicion: 2025-10-27 09:16:29
--------------------------------------------
Placa:             
Id Device:         104
Ingreso:           2025-10-27 08:06:01
Salida:            2025-10-27 09:16:14
Minutos:           70.22
--------------------------------------------
Detalle          Subtotal   Impuesto   Total
--------------------------------------------
Estacionamiento   43.10   6.90   50.00   

        TOTAL A PAGAR:   $ 50.00
--------------------------------------------
Pago Efectivo
Efectivo:          $ 50.00
Cambio:            $  0.00
--------------------------------------------

GRACIAS POR VISITARNOS

--------------------------------------------
Elaborado por:CONTROLES INTELIGENTES S.A.S
WWW.CI24.COM
Nit:900.249.884-9
--------------------------------------------",,50,0,101-1761573961
2,1761578286,63910,104,920,104-1761578286,2025-10-27 09:18:06,123456789,Ferchaz,21.55,3.45,25.0,0,25,False,False,"[{'Id_Tax': 1, 'TaxValue': 16, 'TaxName': 'IVA'}]","[{'Id_Product': 8, 'description': 'Estacionamiento', 'TotalWithoutTaxes': 21.55, 'tax': 3.45, 'Subtotal': 25.0, 'TotalAdjustment': 0, 'Total': 25, 'AgreementsApplied': [], 'NoteItems': {'Detail_liquidation': {'total': 25, 'mins': 17, 'liquidacion': 25, 'zona': 1, 'tv': 1, 'calculo_dias': {'2025-10-27': {'formula': 'Carros', 'mins': 17, 'valor': 25}}, 'convenios': []}}}]",0,"Estacionamiento Ocampo
Melchor Ocampo #175
4441631191

Transaccion: 104-1761578286

--------------------------------------------
Sistema POS No:      Ferchaz-63910
Fecha de expedicion: 2025-10-27 09:18:06
--------------------------------------------
Placa:             
Id Device:         104
Ingreso:           2025-10-27 09:00:49
Salida:            2025-10-27 09:17:25
Minutos:           16.6
--------------------------------------------
Detalle          Subtotal   Impuesto   Total
--------------------------------------------
Estacionamiento   21.55   3.45   25.00   

        TOTAL A PAGAR:   $ 25.00
--------------------------------------------
Pago Efectivo
Efectivo:          $ 25.00
Cambio:            $  0.00
--------------------------------------------

GRACIAS POR VISITARNOS

--------------------------------------------
Elaborado por:CONTROLES INTELIGENTES S.A.S
WWW.CI24.COM
Nit:900.249.884-9
--------------------------------------------",,25,0,101-1761577249
2,1761578793,63911,104,920,104-1761578793,2025-10-27 09:26:33,123456789,Ferchaz,21.55,3.45,25.0,0,25,False,False,"[{'Id_Tax': 1, 'TaxValue': 16, 'TaxName': 'IVA'}]","[{'Id_Product': 8, 'description': 'Estacionamiento', 'TotalWithoutTaxes': 21.55, 'tax': 3.45, 'Subtotal': 25.0, 'TotalAdjustment': 0, 'Total': 25, 'AgreementsApplied': [], 'NoteItems': {'Detail_liquidation': {'total': 25, 'mins': 60, 'liquidacion': 25, 'zona': 1, 'tv': 1, 'calculo_dias': {'2025-10-27': {'formula': 'Carros', 'mins': 60, 'valor': 25}}, 'convenios': []}}}]",0,"Estacionamiento Ocampo
Melchor Ocampo #175
4441631191

Transaccion: 104-1761578793

--------------------------------------------
Sistema POS No:      Ferchaz-63911
Fecha de expedicion: 2025-10-27 09:26:33
--------------------------------------------
Placa:             
Id Device:         104
Ingreso:           2025-10-27 08:26:21
Salida:            2025-10-27 09:26:25
Minutos:           60.07
--------------------------------------------
Detalle          Subtotal   Impuesto   Total
--------------------------------------------
Estacionamiento   21.55   3.45   25.00   

        TOTAL A PAGAR:   $ 25.00
--------------------------------------------
Pago Efectivo
Efectivo:          $ 25.00
Cambio:            $  0.00
--------------------------------------------

GRACIAS POR VISITARNOS

--------------------------------------------
Elaborado por:CONTROLES INTELIGENTES S.A.S
WWW.CI24.COM
Nit:900.249.884-9
--------------------------------------------",,25,0,101-1761575181
2,1761579335,63912,104,920,104-1761579335,2025-10-27 09:35:35,123456789,Ferchaz,21.55,3.45,25.0,0,25,False,False,"[{'Id_Tax': 1, 'TaxValue': 16, 'TaxName': 'IVA'}]","[{'Id_Product': 8, 'description': 'Estacionamiento', 'TotalWithoutTaxes': 21.55, 'tax': 3.45, 'Subtotal': 25.0, 'TotalAdjustment': 0, 'Total': 25, 'AgreementsApplied': [], 'NoteItems': {'Detail_liquidation': {'total': 25, 'mins': 21, 'liquidacion': 25, 'zona': 1, 'tv': 1, 'calculo_dias': {'2025-10-27': {'formula': 'Carros', 'mins': 21, 'valor': 25}}, 'convenios': []}}}]",0,"Estacionamiento Ocampo
Melchor Ocampo #175
4441631191

Transaccion: 104-1761579335

--------------------------------------------
Sistema POS No:      Ferchaz-63912
Fecha de expedicion: 2025-10-27 09:35:35
--------------------------------------------
Placa:             
Id Device:         104
Ingreso:           2025-10-27 09:14:06
Salida:            2025-10-27 09:35:14
Minutos:           21.13
--------------------------------------------
Detalle          Subtotal   Impuesto   Total
--------------------------------------------
Estacionamiento   21.55   3.45   25.00   

        TOTAL A PAGAR:   $ 25.00
--------------------------------------------
Pago Efectivo
Efectivo:          $ 25.00
Cambio:            $  0.00
--------------------------------------------

GRACIAS POR VISITARNOS

--------------------------------------------
Elaborado por:CONTROLES INTELIGENTES S.A.S
WWW.CI24.COM
Nit:900.249.884-9
--------------------------------------------",,25,0,101-1761578046
2,1761579988,63913,104,920,104-1761579988,2025-10-27 09:46:28,123456789,Ferchaz,21.55,3.45,25.0,0,25,False,False,"[{'Id_Tax': 1, 'TaxValue': 16, 'TaxName': 'IVA'}]","[{'Id_Product': 8, 'description': 'Estacionamiento', 'TotalWithoutTaxes': 21.55, 'tax': 3.45, 'Subtotal': 25.0, 'TotalAdjustment': 0, 'Total': 25, 'AgreementsApplied': [], 'NoteItems': {'Detail_liquidation': {'total': 25, 'mins': 11, 'liquidacion': 25, 'zona': 1, 'tv': 1, 'calculo_dias': {'2025-10-27': {'formula': 'Carros', 'mins': 11, 'valor': 25}}, 'convenios': []}}}]",0,"Estacionamiento Ocampo
Melchor Ocampo #175
4441631191

Transaccion: 104-1761579988

--------------------------------------------
Sistema POS No:      Ferchaz-63913
Fecha de expedicion: 2025-10-27 09:46:28
--------------------------------------------
Placa:             
Id Device:         104
Ingreso:           2025-10-27 09:30:40
Salida:            2025-10-27 09:41:13
Minutos:           10.55
--------------------------------------------
Detalle          Subtotal   Impuesto   Total
--------------------------------------------
Estacionamiento   21.55   3.45   25.00   

        TOTAL A PAGAR:   $ 25.00
--------------------------------------------
Pago Efectivo
Efectivo:          $ 25.00
Cambio:            $  0.00
--------------------------------------------

GRACIAS POR VISITARNOS

--------------------------------------------
Elaborado por:CONTROLES INTELIGENTES S.A.S
WWW.CI24.COM
Nit:900.249.884-9
--------------------------------------------",,25,0,101-1761579040
2,1761580244,63914,104,920,104-1761580244,2025-10-27 09:50:44,123456789,Ferchaz,43.1,6.9,50.0,0,50,False,False,"[{'Id_Tax': 1, 'TaxValue': 16, 'TaxName': 'IVA'}]","[{'Id_Product': 8, 'description': 'Estacionamiento', 'TotalWithoutTaxes': 43.1, 'tax': 6.9, 'Subtotal': 50.0, 'TotalAdjustment': 0, 'Total': 50, 'AgreementsApplied': [], 'NoteItems': {'Detail_liquidation': {'total': 50, 'mins': 97, 'liquidacion': 50, 'zona': 1, 'tv': 1, 'calculo_dias': {'2025-10-27': {'formula': 'Carros', 'mins': 97, 'valor': 50}}, 'convenios': []}}}]",0,"Estacionamiento Ocampo
Melchor Ocampo #175
4441631191

Transaccion: 104-1761580244

--------------------------------------------
Sistema POS No:      Ferchaz-63914
Fecha de expedicion: 2025-10-27 09:50:44
--------------------------------------------
Placa:             
Id Device:         104
Ingreso:           2025-10-27 08:13:47
Salida:            2025-10-27 09:50:33
Minutos:           96.77
--------------------------------------------
Detalle          Subtotal   Impuesto   Total
--------------------------------------------
Estacionamiento   43.10   6.90   50.00   

        TOTAL A PAGAR:   $ 50.00
--------------------------------------------
Pago Efectivo
Efectivo:          $ 50.00
Cambio:            $  0.00
--------------------------------------------

GRACIAS POR VISITARNOS

--------------------------------------------
Elaborado por:CONTROLES INTELIGENTES S.A.S
WWW.CI24.COM
Nit:900.249.884-9
--------------------------------------------",,50,0,101-1761574427
2,1761580321,63915,104,920,104-1761580321,2025-10-27 09:52:01,123456789,Ferchaz,21.55,3.45,25.0,0,25,False,False,"[{'Id_Tax': 1, 'TaxValue': 16, 'TaxName': 'IVA'}]","[{'Id_Product': 8, 'description': 'Estacionamiento', 'TotalWithoutTaxes': 21.55, 'tax': 3.45, 'Subtotal': 25.0, 'TotalAdjustment': 0, 'Total': 25, 'AgreementsApplied': [], 'NoteItems': {'Detail_liquidation': {'total': 25, 'mins': 27, 'liquidacion': 25, 'zona': 1, 'tv': 1, 'calculo_dias': {'2025-10-27': {'formula': 'Carros', 'mins': 27, 'valor': 25}}, 'convenios': []}}}]",0,"Estacionamiento Ocampo
Melchor Ocampo #175
4441631191

Transaccion: 104-1761580321

--------------------------------------------
Sistema POS No:      Ferchaz-63915
Fecha de expedicion: 2025-10-27 09:52:01
--------------------------------------------
Placa:             
Id Device:         104
Ingreso:           2025-10-27 09:23:59
Salida:            2025-10-27 09:51:26
Minutos:           27.45
--------------------------------------------
Detalle          Subtotal   Impuesto   Total
--------------------------------------------
Estacionamiento   21.55   3.45   25.00   

        TOTAL A PAGAR:   $ 25.00
--------------------------------------------
Pago Efectivo
Efectivo:          $ 25.00
Cambio:            $  0.00
--------------------------------------------

GRACIAS POR VISITARNOS

--------------------------------------------
Elaborado por:CONTROLES INTELIGENTES S.A.S
WWW.CI24.COM
Nit:900.249.884-9
--------------------------------------------",,25,0,101-1761578639
2,1761580379,63916,104,920,104-1761580379,2025-10-27 09:52:59,123456789,Ferchaz,21.55,3.45,25.0,0,25,False,False,"[{'Id_Tax': 1, 'TaxValue': 16, 'TaxName': 'IVA'}]","[{'Id_Product': 8, 'description': 'Estacionamiento', 'TotalWithoutTaxes': 21.55, 'tax': 3.45, 'Subtotal': 25.0, 'TotalAdjustment': 0, 'Total': 25, 'AgreementsApplied': [], 'NoteItems': {'Detail_liquidation': {'total': 25, 'mins': 39, 'liquidacion': 25, 'zona': 1, 'tv': 1, 'calculo_dias': {'2025-10-27': {'formula': 'Carros', 'mins': 39, 'valor': 25}}, 'convenios': []}}}]",0,"Estacionamiento Ocampo
Melchor Ocampo #175
4441631191

Transaccion: 104-1761580379

--------------------------------------------
Sistema POS No:      Ferchaz-63916
Fecha de expedicion: 2025-10-27 09:52:59
--------------------------------------------
Placa:             
Id Device:         104
Ingreso:           2025-10-27 09:13:23
Salida:            2025-10-27 09:52:46
Minutos:           39.38
--------------------------------------------
Detalle          Subtotal   Impuesto   Total
--------------------------------------------
Estacionamiento   21.55   3.45   25.00   

        TOTAL A PAGAR:   $ 25.00
--------------------------------------------
Pago Efectivo
Efectivo:          $ 25.00
Cambio:            $  0.00
--------------------------------------------

GRACIAS POR VISITARNOS

--------------------------------------------
Elaborado por:CONTROLES INTELIGENTES S.A.S
WWW.CI24.COM
Nit:900.249.884-9
--------------------------------------------",,25,0,101-1761578003
